Authorization Number,Authorization Type,Company,Issue Date,Expiry Date,Waste Type,State,Primary BCENICID,Secondary BCENICID,CPIX,Risk Level,WDR Regulation,WDR Schedule One or Two,Regional Case Manager,Office,Administrative Area,Regional District,Region,Nearest Municipality,Facility Type - Description,Facility Address,Facility Operator,Facility Operator Phone,Facility Operator Email,Latitude,Longitude,Legal Land Description,Mailing Address
17,Permit,8360 WIGGINS HOLDINGS INC. ,10/29/1957,,Effluent,Cancelled,322120  Forest Sector - Paper / PaperBoard Mills,562910  Waste Treatment - Remediation,M,,Schedule 1,Paperboard Industry,"McCullough, Sarah",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Burnaby,"paperboard mill undergoing decommissioning and dismantling  paperboard mill undergoing decommissioning and dismantling.  When complete, primary activity will be the collection, treatment and discharge of landfill leachate and stormwater from a former paperboard mill site.","8255 Wiggins Street, Burnaby BC  V3N 2V7",Robert Wheler (cel 416 738-7436),(416) 350-7819,RWheler@OxfordProperties.com,49.18527,122.97266,"Lot 48 Except: Firstly, Parcel ""A"" (Bylaw Plan 70015); Secondly: Part Subdivided by Plan 72187; District Lot 167 Group 1 New Westminister District Plan 48061","c/o Oxford Properties Group, Royal Bank Plaza, North Tower, 200 Bay Street, Suite 900, Toronto ON  M5J 2J2, "
18,Permit,CHEMTRADE ELECTROCHEM INC. ,10/29/1957,,Air,Active,325100  Manufacturing - Chemical,  ,M,,Schedule 1,Chemical and Chemical Products Industry,"Holms, Bruce",Surrey, ,Metro Vancouver,Authorizations - South Region,North Vancouver,Chlor-Alkali Plant  Chlor-Alkali Plant,"100 Amherst Ave, North Vancouver, BC V7H 1S4",Chemtrade Electrochem Inc.,(604) 924-2800,rdenton@chemtradelogistics.com,49.299676,123.015203,"Lot 5, Block H, District Lot 611, Group 1, New Westminster District, Plan 17801, and National Harbours Board Water Lot Lease V-138(5)","100 Amherst Avenue, North Vancouver V7H 1S4"
18,Permit,CHEMTRADE ELECTROCHEM INC. ,10/29/1957,,Effluent,Active,325100  Manufacturing - Chemical,  ,M,,Schedule 1,Chemical and Chemical Products Industry,"Holms, Bruce",Surrey, ,Metro Vancouver,Authorizations - South Region,North Vancouver,Chlor-Alkali Plant  Chlor-Alkali Plant,"100 Amherst Ave, North Vancouver, BC V7H 1S4",Chemtrade Electrochem Inc.,(604) 924-2800,rdenton@chemtradelogistics.com,49.299676,123.015203,"Lot 5, Block H, District Lot 611, Group 1, New Westminster District, Plan 17801, and National Harbours Board Water Lot Lease V-138(5)","100 Amherst Avenue, North Vancouver V7H 1S4"
22,Permit,SUNCOR ENERGY PRODUCTS INC. SUNCOR ENERGY PRODUCTS PARTNERSHIP,3/26/1958,,Effluent,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Oil and Natural Gas Industry - Small,"Danyluk, Carol",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Port Moody,Petroleum Refinery  ,"1155 Glenayre Drive, Port Moody",Unknown,(604) 933-3063,jmelliott@suncor.com,49.2934,122.8871,"PORT MOODY, PETRO-CANADA REFINERY","Port Moody Refinery, PO Box 70, Port Moody BC  V3H 3E1"
23,Operational Certificate,GREATER VANCOUVER SEWERAGE AND DRAINAGE DISTRICT ,4/2/1965,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,H,,Schedule 1,Municipal Sewage Management,"Hamelin, Trevor",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Richmond,Municipal Wastewater Treatment Plant  ,"RICHMOND, IONA STP",Theresa Gregonia,(604) 523-7168,Theresa.Gregonia@metrovancouver.org,49.21841,123.200877,"RICHMOND, IONA STP","4330 KINGSWAY BURNABY, BC V5H 4G8"
27,Permit,MT. SEYMOUR RESORTS LTD. ,11/12/1958,,Effluent,Active,531300  Administration - Private,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Downie, A.J.",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,North Vancouver,Ski Facility  ,"NORTH VANCOUVER, MOUNT SEYMOUR PROVINCIAL PARK",Steve Lange and Dylan Wendt,(604) 986-2261,bmaintenance@mtseymour.ca,49.3541,122.946,"NORTH VANCOUVER, MOUNT SEYMOUR PROVINCIAL PARK","1700 MOUNT SEYMOUR ROAD NORTH VANCOUVER, BC V7G 1L3"
30,Operational Certificate,GREATER VANCOUVER SEWERAGE AND DRAINAGE DISTRICT ,2/17/1965,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,H,,Schedule 1,Municipal Sewage Management,"Hamelin, Trevor",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,North Vancouver,Municipal Wastewater treatment plant  ,"NORTH VANCOUVER, LION'S GATE STP",Unknown,() -,,49.319723,123.136246,"NORTH VANCOUVER, LION'S GATE STP","FINANCE DEPARTMENT 4TH FL, 4330 KINGSWAY BURNABY, BC V5H 4G8"
39,Municipal Wastewater Regulation,CITY OF CHILLIWACK ,1/22/2002,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",  ,H,,Schedule 1,Municipal Sewage Management,"Cavadini, Roger",Surrey,Southern Interior,Fraser Valley ,Authorizations - South Region,Chilliwack,"  provides secondary treatment of wastewater generated by a sewered residential population, and associated commercial, institutional and industrial operations within the sewerage area, of approximately 65,000 residents.","44820 Wolfe Rd, Chilliwack BC V2P 8A8",Ben Loewen,7251,"bloewen@chilliwack.com, apbilling@chilliwack.com",49.1688,121.9842,"Lot 4 and portion of Lot 3 of District Lot 256, Group 2, NWD, Plan 696","8550 Young Road, Chilliwack BC  V2P 8A4"
41,Permit,LANTIC REAL PROPERTY HOLDINGS LTD. ,10/7/1960,,Effluent,Cancelled,531300  Administration - Private,562220  Sewage Treatment,M,,Schedule 1,Municipal Sewage Management,"Hanemayer, Vincent",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Delta,Water Treatment Facility  ,"DELTA, 7900 RIVER ROAD",Unknown,() -,,49.150507,123.013251,"DELTA, 7900 RIVER ROAD","SUITE 900 1508 WEST BROADWAY VANCOUVER, BC V6J 1W8"
42,Permit,LAFARGE CANADA INC. ,12/6/1960,,Effluent,Active,327300  Manufacturing - Cement & Concrete,  ,M,,Schedule 1,Cement and Lime Manufacturing Industry,"McCullough, Sarah",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Richmond,Cement Manufacturing Plant  ,"RICHMOND, 7611 NO. 9 ROAD",Unknown,() -,,49.15812,123.005387,"RICHMOND, 7611 NO. 9 ROAD","7611 NO. 9 RD RICHMOND, BC V6W 1H4"
